sheet_thickness,blank_holder_force,stamping_speed,friction_coeff,die_gap,crack,wrinkle,springback
0.8205128205128206,0.49728076138681176,0.15226939970717412,0.8934010152284265,0.3417721518987342,0.0,1.0,1.0
0.5299145299145299,0.32664853840924535,0.862371888726208,0.0,0.139240506329114,1.0,0.0,1.0
0.02564102564102555,0.6410605030591434,0.370424597364568,0.5025380710659898,0.9746835443037973,1.0,1.0,1.0
0.8461538461538461,0.11726716519374569,0.8579795021961931,0.08629441624365486,0.26582278481012644,1.0,1.0,1.0
0.6153846153846155,0.921142080217539,0.814787701317716,0.9949238578680203,0.6075949367088607,1.0,0.0,0.0
0.6410256410256411,0.5744391570360299,0.47071742313323583,0.649746192893401,0.9746835443037973,0.0,1.0,1.0
0.8119658119658121,0.5611828687967368,0.3162518301610542,0.8934010152284265,0.6708860759493671,0.0,1.0,1.0
0.2735042735042734,0.110469068660775,0.5300146412884335,0.7918781725888325,0.5949367088607593,0.0,1.0,0.0
0.09401709401709402,0.7715839564921823,0.6515373352855052,0.4263959390862945,0.8101265822784809,1.0,1.0,1.0
0.7692307692307693,0.39564921821889854,0.03147877013177147,0.8730964467005077,0.11392405063291133,0.0,1.0,1.0
0.8803418803418804,0.6495581237253569,0.548316251830161,0.07614213197969544,0.6962025316455696,1.0,1.0,1.0
0.19658119658119655,0.9099252209381372,0.06588579795021954,0.7614213197969545,0.8481012658227847,1.0,1.0,1.0
0.7435897435897435,0.3191706322229776,0.9231332357247437,0.4568527918781725,0.4430379746835442,0.0,0.0,1.0
0.24786324786324787,0.24371176070700196,0.6163982430453878,0.37055837563451777,0.22784810126582267,0.0,0.0,0.0
0.564102564102564,0.0016995241332427025,0.10468521229868222,0.9086294416243655,0.620253164556962,0.0,0.0,0.0
0.2222222222222222,0.9044867437117607,0.3689604685212299,0.2182741116751269,0.11392405063291133,1.0,0.0,0.0
0.6923076923076924,0.23725356900067984,0.70497803806735,0.7512690355329951,0.9873417721518989,0.0,1.0,1.0
0.41025641025641024,0.9870836165873553,0.6361639824304539,0.2791878172588832,0.06329113924050622,1.0,0.0,0.0
0.6324786324786326,0.08055744391570352,0.7174231332357248,0.9898477157360407,0.20253164556962022,0.0,1.0,0.0
0.05128205128205121,0.8290278721957851,0.42386530014641277,0.964467005076142,0.03797468354430378,1.0,0.0,0.0
